customer_id,loyalty_tier,signup_date,city,province
C0000001,gold,2020-05-14,Kitchener,ON
C0000002,none,2021-08-20,Hamilton,ON
C0000003,silver,2020-12-21,St. Catharines,ON
C0000004,gold,2024-03-30,London,ON
C0000005,platinum,2019-12-30,Toronto,ON
C0000006,silver,2018-06-25,Ottawa,ON
C0000007,gold,2021-12-29,Brampton,ON
C0000008,none,2023-12-14,Niagara Falls,ON
C0000009,bronze,2019-01-26,Waterloo,ON
C0000010,none,2025-11-17,Mississauga,ON
C0000011,platinum,2023-05-19,Thunder Bay,ON
C0000012,gold,2025-06-22,Burlington,ON
C0000013,none,2021-10-05,Toronto,ON
C0000014,none,2018-12-26,Waterloo,ON
C0000015,bronze,2019-06-03,Windsor,ON
C0000016,none,2022-01-02,Waterloo,ON
C0000017,gold,2022-09-16,Ottawa,ON
C0000018,none,2023-11-16,Niagara Falls,ON
C0000019,silver,2024-05-12,Peterborough,ON
C0000020,bronze,2024-02-07,Burlington,ON
C0000021,bronze,2022-09-17,Windsor,ON
C0000022,none,2018-02-22,Markham,ON
C0000023,platinum,2022-03-28,Waterloo,ON
C0000024,silver,2024-07-22,Oakville,ON
C0000025,bronze,2024-10-13,Guelph,ON
C0000026,bronze,2024-09-04,Kingston,ON
C0000027,gold,2018-02-01,Barrie,ON
C0000028,gold,2021-06-25,Sudbury,ON
C0000029,silver,2022-12-08,Brampton,ON
C0000030,silver,2019-12-25,Brampton,ON
C0000031,gold,2021-04-12,Sudbury,ON
C0000032,bronze,2018-10-12,Burlington,ON
C0000033,silver,2019-07-20,Toronto,ON
C0000034,bronze,2018-01-17,Hamilton,ON
C0000035,bronze,2025-11-02,Peterborough,ON
C0000036,platinum,2024-11-17,Burlington,ON
C0000037,platinum,2021-03-25,Mississauga,ON
C0000038,bronze,2018-01-13,Ottawa,ON
C0000039,bronze,2020-09-06,Vaughan,ON
C0000040,gold,2021-06-22,Burlington,ON
C0000041,platinum,2019-05-09,Toronto,ON
