employee_id,store_id,role,hire_date,active_flag
E00001,S008,cashier,2024-06-20,True
E00002,S018,sales_associate,2022-01-09,True
E00003,S005,returns_specialist,2021-04-11,True
E00004,S006,sales_associate,2024-04-27,True
E00005,S007,customer_service,2020-10-31,True
E00006,S008,customer_service,2024-10-23,True
E00007,S009,sales_associate,2021-05-22,True
E00008,S018,stock_associate,2021-09-20,False
E00009,S001,sales_associate,2021-09-07,True
E00010,S019,returns_specialist,2025-01-28,True
E00011,S002,sales_associate,2023-06-15,True
E00012,S001,cashier,2024-03-18,True
E00013,S011,sales_associate,2022-03-12,False
E00014,S003,sales_associate,2018-09-04,True
E00015,S014,customer_service,2021-02-24,True
E00016,S012,supervisor,2022-01-21,True
E00017,S005,sales_associate,2022-07-01,True
E00018,S017,customer_service,2019-01-16,True
E00019,S015,cashier,2025-10-17,True
E00020,S015,customer_service,2024-03-20,True
E00021,S012,sales_associate,2023-03-20,True
E00022,S010,cashier,2022-12-15,True
E00023,S007,cashier,2023-09-04,False
E00024,S011,cashier,2022-01-10,False
E00025,S004,sales_associate,2019-11-25,True
E00026,S002,sales_associate,2021-01-01,True
E00027,S008,cashier,2024-10-25,False
E00028,S020,customer_service,2018-08-08,True
E00029,S019,sales_associate,2020-02-11,True
E00030,S001,cashier,2025-08-10,False
E00031,S002,returns_specialist,2021-11-17,False
E00032,S019,cashier,2021-01-29,True
E00033,S012,cashier,2021-07-29,True
E00034,S020,stock_associate,2020-04-28,True
E00035,S014,cashier,2023-06-12,True
E00036,S017,customer_service,2019-10-21,True
E00037,S020,cashier,2020-11-13,True
E00038,S004,returns_specialist,2019-01-30,True
E00039,S016,cashier,2025-03-29,True
E00040,S009,customer_service,2025-07-15,False
E00041,S004,cashier,2024-07-14,True
E00042,S013,sales_associate,2024-12-09,True
E00043,S005,sales_associate,2018-09-13,True
E00044,S018,cashier,2018-06-24,True
E00045,S009,sales_associate,2023-06-05,True
E00046,S006,sales_associate,2024-11-13,False
E00047,S011,sales_associate,2018-01-18,True
E00048,S001,customer_service,2020-12-08,True
E00049,S020,returns_specialist,2020-12-18,True
E00050,S008,cashier,2025-06-05,True
E00051,S020,cashier,2025-02-02,True
E00052,S004,sales_associate,2022-06-09,True
E00053,S002,sales_associate,2025-10-31,True
E00054,S014,sales_associate,2024-05-06,True
E00055,S001,supervisor,2023-06-25,True
E00056,S013,cashier,2021-12-20,True
E00057,S016,sales_associate,2025-06-15,True
E00058,S015,supervisor,2023-04-27,True
E00059,S013,customer_service,2023-05-14,False
E00060,S013,cashier,2019-06-23,True
E00061,S020,returns_specialist,2019-06-16,True
E00062,S015,sales_associate,2019-07-04,True
E00063,S006,manager,2023-05-02,True
E00064,S002,returns_specialist,2023-01-20,True
E00065,S017,cashier,2022-06-10,True
E00066,S020,stock_associate,2025-11-01,True
E00067,S019,cashier,2023-11-17,False
E00068,S015,sales_associate,2023-06-28,True
E00069,S016,sales_associate,2025-03-27,True
E00070,S011,sales_associate,2023-05-31,True
E00071,S003,customer_service,2025-01-13,True
E00072,S002,customer_service,2024-09-21,True
E00073,S011,stock_associate,2023-12-24,True
E00074,S008,cashier,2022-11-29,True
E00075,S017,sales_associate,2021-09-26,True
E00076,S011,cashier,2025-09-03,True
E00077,S010,returns_specialist,2018-11-21,True
E00078,S013,supervisor,2019-07-30,True
E00079,S003,sales_associate,2025-08-06,True
E00080,S005,cashier,2020-07-28,True
E00081,S003,customer_service,2023-10-02,True
E00082,S017,supervisor,2024-06-22,False
E00083,S016,stock_associate,2022-05-31,True
E00084,S012,stock_associate,2021-09-19,True
E00085,S009,manager,2018-12-09,True
E00086,S017,cashier,2025-08-30,True
E00087,S012,sales_associate,2025-08-10,True
E00088,S014,cashier,2023-10-10,True
E00089,S008,stock_associate,2019-08-07,True
E00090,S010,customer_service,2022-03-26,True
E00091,S006,customer_service,2018-11-02,True
E00092,S019,sales_associate,2020-03-04,True
E00093,S015,sales_associate,2020-06-27,True
E00094,S006,sales_associate,2022-03-17,True
E00095,S012,stock_associate,2019-10-15,True
E00096,S010,cashier,2025-02-01,True
E00097,S007,sales_associate,2022-08-31,True
E00098,S006,cashier,2020-01-05,True
E00099,S018,supervisor,2020-11-13,True
E00100,S013,sales_associate,2024-09-13,True
E00101,S008,sales_associate,2025-03-31,True
E00102,S018,supervisor,2019-12-03,True
E00103,S004,customer_service,2019-10-09,True
E00104,S009,cashier,2022-01-03,True
E00105,S006,cashier,2018-09-29,True
E00106,S003,sales_associate,2025-06-05,True
E00107,S004,cashier,2024-03-17,True
E00108,S007,sales_associate,2024-02-27,True
E00109,S018,customer_service,2020-09-27,True
E00110,S003,sales_associate,2021-11-09,True
E00111,S012,customer_service,2018-04-01,True
E00112,S002,cashier,2020-07-30,True
E00113,S009,customer_service,2021-04-09,True
E00114,S014,stock_associate,2018-05-26,True
E00115,S010,stock_associate,2024-08-03,True
E00116,S019,customer_service,2024-06-29,True
E00117,S011,cashier,2023-10-26,False
E00118,S007,cashier,2020-06-29,True
E00119,S007,sales_associate,2018-06-01,True
E00120,S007,cashier,2022-07-08,True
E00121,S019,sales_associate,2022-01-16,True
E00122,S008,sales_associate,2020-06-09,True
E00123,S016,sales_associate,2021-03-29,False
E00124,S013,customer_service,2022-02-19,True
E00125,S003,sales_associate,2019-09-28,True
E00126,S004,supervisor,2023-02-07,True
E00127,S005,customer_service,2023-05-27,False
E00128,S010,supervisor,2018-01-28,True
E00129,S014,cashier,2018-06-19,True
E00130,S005,cashier,2023-11-01,True
E00131,S009,sales_associate,2020-02-18,True
E00132,S002,cashier,2023-02-28,True
E00133,S016,cashier,2018-01-16,True
E00134,S018,stock_associate,2022-05-26,True
E00135,S015,sales_associate,2018-04-11,True
E00136,S010,supervisor,2022-11-03,True
E00137,S009,customer_service,2024-06-11,False
E00138,S004,sales_associate,2018-10-14,True
E00139,S017,returns_specialist,2018-02-11,True
E00140,S001,cashier,2021-07-04,True
E00141,S005,customer_service,2019-04-14,True
E00142,S005,stock_associate,2019-01-28,True
E00143,S001,customer_service,2021-10-15,True
E00144,S001,sales_associate,2025-11-28,True
E00145,S003,customer_service,2019-08-20,True
E00146,S007,manager,2018-11-08,True
E00147,S006,sales_associate,2024-06-25,True
E00148,S010,sales_associate,2022-12-30,True
E00149,S014,sales_associate,2025-09-18,True
E00150,S016,sales_associate,2021-06-22,True
