return_id,sale_id,transaction_id,return_date,store_id,customer_id,employee_id,product_id,return_quantity,return_amount,return_reason,return_channel,refund_method,receipt_present,item_condition,policy_exception_flag
RT00000001,SL00022312,TXN000022312,2025-05-29,S015,C0004576,E00020,P000468,1,9.07,duplicate_purchase,in_store,store_credit,False,unopened,True
RT00000002,SL00017750,TXN000017750,2025-02-07,S008,C0009159,E00006,P000481,1,25.03,changed_mind,in_store,cash,True,defective,True
RT00000003,SL00034723,TXN000034723,2025-03-13,S013,C0008722,E00042,P000249,1,19.34,changed_mind,in_store,debit_card,True,opened,False
RT00000004,SL00014891,TXN000014891,2025-06-05,S009,C0001852,E00085,P000035,1,91.86,wrong_size,in_store,cash,True,opened,False
RT00000005,SL00025243,TXN000025243,2024-11-06,S008,C0002427,E00089,P000240,2,49.12,wrong_size,in_store,credit_card,True,opened,False
RT00000006,SL00019075,TXN000019075,2025-06-22,S016,C0003634,E00123,P000353,1,14.49,changed_mind,in_store,store_credit,True,missing_packaging,False
RT00000007,SL00013768,TXN000013768,2025-07-06,S013,C0008845,E00059,P000268,1,24.44,wrong_size,in_store,store_credit,True,opened,False
RT00000008,SL00021852,TXN000021852,2024-10-06,S013,C0008416,E00124,P000098,1,33.04,changed_mind,in_store,cash,True,unopened,False
RT00000009,SL00004976,TXN000004976,2025-03-14,S001,C0009194,E00143,P000008,1,20.42,changed_mind,in_store,credit_card,True,unopened,False
RT00000010,SL00013709,TXN000013709,2025-12-21,S004,C0003843,E00038,P000257,1,336.22,other,curbside,credit_card,True,opened,True
RT00000011,SL00033433,TXN000033433,2025-12-09,S019,C0006286,E00121,P000416,3,66.42,wrong_size,curbside,credit_card,True,unopened,True
RT00000012,SL00007783,TXN000007783,2025-10-12,S013,C0004467,E00124,P000369,1,6.44,other,in_store,credit_card,True,unopened,False
RT00000013,SL00031059,TXN000031059,2024-06-01,S011,C0006267,E00013,P000028,4,83.88,not_as_described,in_store,debit_card,True,opened,False
RT00000014,SL00020522,TXN000020522,2025-02-07,S008,C0009699,E00089,P000150,1,29.34,defective,in_store,debit_card,True,defective,False
RT00000015,SL00017047,TXN000017047,2025-12-11,S011,C0008790,E00047,P000180,3,89.94,wrong_size,mail,credit_card,True,opened,False
RT00000016,SL00027356,TXN000027356,2025-01-10,S012,C0003295,E00087,P000349,1,91.91,wrong_size,in_store,credit_card,False,unopened,True
RT00000017,SL00000468,TXN000000468,2025-11-23,S020,C0006074,E00049,P000441,1,13.05,damaged,in_store,credit_card,True,opened,False
RT00000018,SL00035116,TXN000035116,2025-01-07,S008,C0003784,E00050,P000151,1,35.65,wrong_size,in_store,credit_card,True,unopened,False
RT00000019,SL00026619,TXN000026619,2024-10-04,S019,C0001604,E00029,P000197,1,16.59,changed_mind,in_store,credit_card,True,unopened,False
RT00000020,SL00007507,TXN000007507,2025-05-13,S001,C0005861,E00143,P000225,1,43.62,changed_mind,in_store,credit_card,True,unopened,False
RT00000021,SL00011832,TXN000011832,2024-10-25,S004,C0002341,E00052,P000267,1,118.88,damaged,curbside,credit_card,True,missing_packaging,False
RT00000022,SL00015633,TXN000015633,2025-11-03,S020,C0002156,E00028,P000165,1,76.99,wrong_size,in_store,cash,True,opened,False
RT00000023,SL00037416,TXN000037416,2025-10-25,S008,C0007661,E00101,P000109,1,31.63,other,in_store,gift_card,True,opened,False
RT00000024,SL00003253,TXN000003253,2025-12-17,S020,C0003097,E00061,P000354,1,25.51,changed_mind,in_store,credit_card,True,unopened,False
RT00000025,SL00038738,TXN000038738,2024-12-09,S002,C0004299,E00112,P000424,1,47.21,defective,in_store,debit_card,True,defective,False
